Year Level,Qualification,School Decile Band,Academic Year,Typical Level Flag,Cumulative Year Attainment Rate,Current Year Attainment Rate,Cumulative Year Attainment,Current Year Attainment,Total Student Count,Cohort Warning
11,NCEA Level 1,Decile 1-3,2018,1,58.30%,57.40%,6567,6460,11263,
11,NCEA Level 1,Decile 4-7,2018,1,74.70%,73.90%,19299,19093,25842,
11,NCEA Level 1,Decile 8-10,2018,1,80.70%,80.20%,17001,16897,21067,
