Year Level,Qualification,School Decile Band,Academic Year,Typical Level Flag,Cumulative Year Attainment Rate,Current Year Attainment Rate,Cumulative Year Attainment,Current Year Attainment,Total Student Count,Cohort Warning
13,University Entrance,Decile 1-3,2018,1,27.6%,27.2%,2307,2269,8351,
13,University Entrance,Decile 4-7,2009,1,44.9%,43.4%,7990,7708,17778,
13,University Entrance,Decile 4-7,2010,1,44.6%,43.9%,8343,8202,18692,
13,University Entrance,Decile 4-7,2011,1,45.2%,43.3%,8775,8411,19418,
13,University Entrance,Decile 4-7,2012,1,47.4%,46.5%,8784,8618,18522,
13,University Entrance,Decile 4-7,2013,1,50.3%,49%,9414,9173,18722,
13,University Entrance,Decile 4-7,2014,1,43.4%,42.1%,7933,7690,18263,
13,University Entrance,Decile 4-7,2015,1,48.2%,46.9%,9550,9297,19821,
13,University Entrance,Decile 4-7,2016,1,47.7%,46.1%,9276,8970,19440,
13,University Entrance,Decile 4-7,2017,1,47.2%,45.5%,9344,9013,19791,
13,University Entrance,Decile 4-7,2018,1,47.6%,44.7%,9525,8947,20014,
13,University Entrance,Decile 8-10,2009,1,59.9%,59.2%,10602,10473,17700,
13,University Entrance,Decile 8-10,2010,1,60.3%,59.6%,10954,10829,18174,
13,University Entrance,Decile 8-10,2011,1,61.4%,60.7%,11345,11213,18483,
13,University Entrance,Decile 8-10,2012,1,62.7%,61.9%,11862,11722,18928,
13,University Entrance,Decile 8-10,2013,1,65.6%,64.9%,12587,12451,19186,
13,University Entrance,Decile 8-10,2014,1,61.4%,60.3%,11758,11561,19165,
13,University Entrance,Decile 8-10,2015,1,64.8%,64.1%,11277,11155,17399,
13,University Entrance,Decile 8-10,2016,1,66.3%,65%,11551,11325,17420,
13,University Entrance,Decile 8-10,2017,1,66.1%,65.2%,12062,11893,18236,
13,University Entrance,Decile 8-10,2018,1,65.3%,64.6%,11758,11635,18002,
